id,name
5030207693,Brent R. Stockwell
5065710911,José Pedro Friedmann Angeli
5029785181,Hülya Bayır
5038374630,Ashley I. Bush
5032761867,Marcus Conrad
5062936903,Scott J. Dixon
5080913590,Simone Fulda
5070269058,Sergio Gascón
5036036579,Stavroula K. Hatzios
5025786667,Valerian E. Kagan
5001388079,Kay Noel
5024419531,Xuejun Jiang
5025159973,Andreas Linkermann
5088200304,Maureen E. Murphy
5080984936,Michael Overholtzer
5005750849,Atsushi Oyagi
5085170360,Gabriela Carolina Pagnussat
5007902683,Jason Park
5003974636,Qitao Ran
5077496332,Craig S. Rosenfeld
5020301776,Konstantin Salnikow
5055468442,Daolin Tang
5087773842,Frank M. Torti
5082037761,Suzy V. Torti
5011918761,Shinya Toyokuni
5076723798,K. A. Woerpel
5009033820,Donna D. Zhang
5034035627,David G. Armstrong
5033575514,Andrew J.M. Boulton
5029187586,Sicco A. Bus
5074640940,Eyal Péer
5039552297,Laura Brandimarte
5047515579,Sonam Samat
5086228116,Alessandro Acquisti
5071423709,Michael R. Blanton
5007879298,Matthew A. Bershady
5023471901,Bela Abolfathi
5050621053,Franco D. Albareti
5029732789,C. Allende Prieto
5059821632,Andrés Almeida
5054406872,J. Alonso-García
5072113237,F. Anders
5008481255,Scott F. Anderson
5008859611,Brett H. Andrews
5021314914,E. Aquino-Ortíz
5088776103,Alfonso Aragón-Salamanca
5019493239,M. Argudo-Fernández
5029192608,E. Armengaud
5078621613,É. Aubourg
5049357186,Vladimir Avila-Reese
5085910426,Carles Badenes
5036125612,S. Bailey
5081811532,Kat Barger
5010156560,Jorge K. Barrera-Ballesteros
5014718011,Curtis Bartosz
5052222245,Dominic Bates
5029411185,Falk Baumgarten
5007175431,Julian Bautista
5054018007,Rachael L. Beaton
5007399893,Timothy C. Beers
5015792566,Francesco Belfiore
5023928187,Chad F. Bender
5070394199,Andreas A. Berlind
5046055735,Mariangela Bernardi
5024877946,Florian Beutler
5016566317,Jonathan C. Bird
5051178378,Dmitry Bizyaev
5010251600,Guillermo A. Blanc
5000523190,Michael Blomqvist
5005755648,A. Bolton
5010717725,M. Boquien
5068373477,J. Borissova
5026266948,Remco C. E. van den Bosch
5090854438,Jo Bovy
5015491870,W. N. Brandt
5014622830,J. Brinkmann
5087170178,Joel R. Brownstein
5061431356,Kevin Bundy
5028639748,Adam J. Burgasser
5037096175,E. Burtin
5002454518,N. G. Busca
5046964551,Michele Cappellari
5006888521,Maria Leticia Delgado Carigi
5005195344,Joleen K. Carlberg
5058803266,A. Carnero Rosell
5044029970,R. Carrera
5059696113,N. J. Chanover
5046149057,Brian Cherinka
5044217369,Edmond Cheung
5042160714,Yilen Gómez Maqueo Chew
5072997761,Cristina Chiappini
5010979587,Peter Doohyun Choi
5083371948,S. Drew Chojnowski
5043173254,Chia-Hsun Chuang
5024570250,Haeun Chung
5042473447,Rafael Fernando Cirolini
5034164235,N. Clerc
5050459150,Roger E. Cohen
5042684496,Johan Comparat
5014012884,L. N. da Costa
5071218228,M. C. Cousinou
5077870084,Kevin R. Covey
5046505722,Jeffrey D. Crane
5027511820,Rupert A. C. Croft
5067312117,I. Cruz-González
5018890671,Daniel Garrido Cuadra
5059358944,Kátia Cunha
5005889713,G. Damke
5032329926,Jeremy Darling
5024884126,Roger L. Davies
5027883460,Kyle Dawson
5036122402,Axel de la Macorra
5067282012,F. Dell’Agli
5007158271,Nathan De Lee
5054648170,Timothée Delubac
5000393383,F. Di Mille
5016534283,Aleks Diamond-Stanic
5059879221,M. Cano-Díaz
5037232198,John Donor
5069072777,Juan José Downes
5049491652,Niv Drory
5070673577,Hélion du Mas des Bourboux
5017406459,Christopher Duckworth
5062351943,T. Dwelly
5060777502,Jamie Dyer
5053039718,Garrett Ebelke
5014303427,Arthur Eigenbrot
5063809341,Daniel J. Eisenstein
5029041186,Éric Emsellem
5040331573,Michael Eracleous
5046076272,S. Escoffier
