id,ror,name
138006243,03m2x1q45,University of Arizona
78577930,00hj8s172,Columbia University
3018134672,00cfam450,Helmholtz Zentrum München
4210130600,03763ep67,Childrens Hospital of Pittsburgh
170201317,01an3r305,University of Pittsburgh
242743682,03a2tac74,Florey Institute of Neuroscience and Mental Health
165779595,01ej9dk98,University of Melbourne
97018004,00f54p054,Stanford University
4210161239,05bx21r34,Frankfurt Cancer Institute
114090438,04cvxnb49,Goethe University Frankfurt
17937529,04cdgtt98,German Cancer Research Center
223822909,038t36y30,Heidelberg University
8204097,05591te55,Ludwig-Maximilians-Universität München
32971472,03v76x132,Yale University
1334819555,02yrq0923,Memorial Sloan Kettering Cancer Center
4210162051,04za5zm41,University Hospital Carl Gustav Carus
78650965,042aqky30,TU Dresden
102322052,04wncat98,The Wistar Institute
4210098679,010xeam31,Ono Pharmaceutical (United States)
189075073,055eqsb67,National University of Mar del Plata
151201029,03cqe8w59,Consejo Nacional de Investigaciones Científicas y Técnicas
4210159998,05r2q5n94,Flagship Pioneering (United States)
165951966,02f6dcw23,The University of Texas Health Science Center at San Antonio
4210140884,040gcmg81,National Cancer Institute
4210092091,00fb35g87,Third Affiliated Hospital of Guangzhou Medical University
92039509,00zat6v61,Guangzhou Medical University
75929689,02kzs4y22,University of Connecticut Health Center
60134161,04chrp450,Nagoya University
57206974,0190ak572,New York University
28407311,027m9bs27,University of Manchester
887064364,04dkp9463,University of Amsterdam
2802928900,03t4gr691,Academic Medical Center
13955877,03kgsv495,Bar-Ilan University
74973139,05x2bcf33,Carnegie Mellon University
135310074,01y2jtd41,University of Wisconsin–Madison
204250578,04gyf1771,"University of California, Irvine"
63634437,01cby8j38,Autonomous University of Madrid
134820265,02gfc7t72,Consejo Superior de Investigaciones Científicas
4210130807,03cmntr54,Instituto de Astrofísica de Canarias
158438070,01r9z8p25,Universidad de La Laguna
74920221,01ht74751,University of La Serena
4210095519,00sgdxg36,Millennium Institute of Astrophysics
129739261,04eyc6d95,University of Antofagasta
2799713863,03mrbr458,Leibniz Institute for Astrophysics Potsdam
201448701,00cvxb145,University of Washington
8961855,01tmp8f25,Universidad Nacional Autónoma de México
142263535,01ee9ar58,University of Nottingham
4210165232,05k705z76,Institut de Recherche sur les Lois Fondamentales de lUnivers
2738703131,00jjx8s55,Atomic Energy and Alternative Energies Commission
4210128565,03n15ch10,CEA Saclay
169173203,00bw5n526,Délégation Paris 7
204730241,05f82e368,Université Paris Cité
4210091437,001z21q04,Sorbonne Paris Cité
1294671590,02feahw73,French National Centre for Scientific Research
148283060,02jbv0t02,Lawrence Berkeley National Laboratory
128956969,054b0b564,Texas Christian University
145311948,00za53h95,Johns Hopkins University
16835326,02wn5qz54,University of St Andrews
39343248,01hcx6992,Humboldt-Universität zu Berlin
223532165,03r0ha626,University of Utah
4210124388,03h4zjr91,Carnegie Observatories
196817621,04jr01610,Carnegie Institution for Science
107639228,00mkhxb43,University of Notre Dame
241749,013meh722,University of Cambridge
200719446,02vm5rt34,Vanderbilt University
79576946,00b30xv10,University of Pennsylvania
63072094,03ykbk197,University of Portsmouth
1288416581,0583fqn04,Crow Canyon Archaeological Center
4210136460,03t6cz096,Astronomical Institute
4210150146,050a13t43,Moscow State University
19880235,010pmpe69,Lomonosov Moscow State University
4210097422,00ssy9q55,Laboratoire d’Astrophysique de Marseille
2801948628,0135fch82,Kitt Peak National Observatory
79274474,00h9jrb69,University of Valparaíso
4210109156,01vhnrs90,Max Planck Institute for Astronomy
4210110940,0265wc016,Canadian Institute for Theoretical Astrophysics
185261750,03dbr7087,University of Toronto
130769515,04p491231,Pennsylvania State University
166644833,02chw6z69,Kavli Institute for the Physics and Mathematics of the Universe
74801974,057zh3y96,The University of Tokyo
185103710,03s65by71,"University of California, Santa Cruz"
36258959,0168r3w48,"University of California, San Diego"
40120149,052gg0110,University of Oxford
1306266525,0171mag52,Goddard Space Flight Center
1297127228,036f5mx38,Space Telescope Science Institute
4210150701,05b9w0m88,Laboratório Interinstitucional de e-Astronomia
4210089367,005cybj21,Valongo Observatory
4210125312,03d47z838,National Observatory
10052268,00hpz7z43,New Mexico State University
28777354,00aft1q37,Sejong University
125608817,041hz9568,Korea Institute for Advanced Study
33501960,01b78mz79,Universidade Federal de Santa Maria
4210091772,00e4bwe12,Max Planck Institute for Extraterrestrial Physics
172787465,0460jpj73,University of Concepción
21491767,035xkbk20,Aix-Marseille University
52669646,05wn7r715,Western Washington University
51556381,0153tk833,University of Virginia
4210104270,01ftbgh03,McCormick (United States)
4210114008,01fcjzv38,Laboratory for Atmospheric and Space Physics
168416876,01k44g025,Northern Kentucky University
5124864,02s376052,École Polytechnique Fédérale de Lausanne
4210145100,042ga5208,Las Campanas Observatory
37415318,003yn7c76,Bates College
86519309,00hj54h04,The University of Texas at Austin
4210124175,03c3r2d17,Center for Astrophysics Harvard & Smithsonian
2801032159,03j307b25,Lyon Observatory
4210088987,0084x3h80,Centre for Astronomical Reseach of Lyon
100532134,029brtt94,Claude Bernard University Lyon 1
113428412,04zmssz18,École Normale Supérieure de Lyon
1321434546,01qtasp15,European Southern Observatory
63098007,04zfme737,Liverpool John Moores University
4210100831,0141j1w94,Gemini North Observatory
52357470,00rs6vg23,The Ohio State University
106118109,01jsq2704,Eötvös Loránd University
177877127,047272k79,University of Western Australia
27837315,00jmfr291,University of Michigan–Ann Arbor
165932596,01tgyzw49,National University of Singapore
188538660,02ttsq026,University of Colorado Boulder
4210133362,03fd77x13,Institut National de Physique Nucléaire et de Physique des Particules
4210159647,04z3y3f62,Osservatorio Astronomico di Padova
20089843,00hx57361,Princeton University
4210120578,02eptjh02,Laboratoire d’études spatiales et d’instrumentation en astrophysique
4210146380,048s2rn92,United States Naval Observatory
2801525552,01g1t6g78,Whitney Museum of American Art
2802964274,04nvtmr42,Interface (United States)
122140584,03490as77,Universidade Federal do Rio de Janeiro
4210103661,017qcv467,Max Planck Institute for Astrophysics
4210151488,04ps4d441,Clovis Oncology (United States)
2802654988,03zayce58,Princess Margaret Cancer Centre
1325899441,042xt5161,University Health Network
1320473756,005bvs909,Royal Melbourne Hospital
161318765,046rm7j60,"University of California, Los Angeles"
1343551460,04twxam07,The University of Texas MD Anderson Cancer Center
1289530486,03sfybe47,BC Cancer Agency
2799885155,028t46f04,The Ohio State University Comprehensive Cancer Center – Arthur G. James Cancer Hospital and Richard J. Solove Research Institute
45129253,02jx3x895,University College London
4210088881,005kpb876,London Cancer
4210140702,03ynhs115,Rocky Mountain Cancer Centers
2801316944,054225q67,Cancer Research UK
4210127641,03ba28x55,Vall dHebron Hospital Universitari
4210105738,01cmnjq37,Centre Léon Bérard
4210125099,03jp40720,Mayo Clinic in Arizona
4210134409,02yw1f353,Institut Bergonié
2801843802,0321g0743,Institut Gustave Roussy
154526488,02vjkv261,Inserm
7882870,00vtgdb53,University of Glasgow
55732556,03efmqc40,Arizona State University
4210142590,04e6xj170,Centre For Digestive Diseases
4210087915,002pd6e78,Massachusetts General Hospital
130238516,017zqws13,University of Minnesota
1312106833,00s1jty20,Biotechnology Institute
203172682,0272j5188,Northern Arizona University
33213144,02y3ad647,University of Florida
4210158932,04nyjea81,Capital Health
32389192,008s83205,University of Alabama at Birmingham
1330342723,02qp3tb03,Mayo Clinic
1283280774,04b6nzv94,Brigham and Womens Hospital
136199984,03vek6s52,Harvard University
4210124153,03ae6qy41,Phoenix Childrens Hospital
114027177,0130frc33,University of North Carolina at Chapel Hill
117965899,01wspgy28,University of Hawaiʻi at Mānoa
4210106879,01jr3y717,Ohio University
111979921,000e0be47,Northwestern University
1314696892,020hgte69,Fermi National Accelerator Laboratory
6902469,05abbep66,Brandeis University
70983195,025r5qe02,Syracuse University
4210119109,02k40bc56,Indiana University Bloomington
40347166,024mw5h28,University of Chicago
181233156,0293rh119,University of Oregon
1343871089,01e41cf67,Los Alamos National Laboratory
4210094059,00pwqz914,Kavli Institute for Particle Astrophysics and Cosmology
95457486,01an7q238,"University of California, Berkeley"
28290843,00ks66431,University of Surrey
4210100855,011494s34,Large Synoptic Survey Telescope Corporation
2801613365,03ds72003,Mitchell Institute
91045830,01f5ytq51,Texas A&M University
2801766991,022bnxw24,Institut dAstrophysique de Paris
39804081,02en5vm52,Sorbonne Université
69737025,047gc3g35,University of Chile
4210140583,03w6nzd18,Cerro Tololo Inter-American Observatory
2801935854,05gzmn429,SLAC National Accelerator Laboratory
4210135837,03r10zj06,National Center for Supercomputing Applications
157725225,047426m28,University of Illinois Urbana-Champaign
132487946,01vbgty78,Institute of Space Sciences
65181880,01j4v3x97,Indian Institute of Technology Hyderabad
4210144898,05874db82,Excellence Cluster Universe
122411786,05dxps055,California Institute of Technology
1334627681,027k65916,Jet Propulsion Laboratory
187453708,01sdrjx85,Institute for High Energy Physics
20231570,02v51f717,Peking University
154570441,02t274463,"University of California, Santa Barbara"
4210105842,01kv3wg35,Kavli Institute for Theoretical Sciences
4210096876,00t9y0z13,International Research Institute for Radio Astronomy
115475287,01g9vbr38,Oklahoma State University
99043593,01sf06y89,Macquarie University
4210154168,051yxp643,Max Planck Institute for Biogeochemistry
154425047,0160cpw27,University of Alberta
63525965,03t52dk35,Western Sydney University
169521973,05fs6jp91,University of New Mexico
114395901,043mer456,University of Nebraska–Lincoln
1286329397,035a68863,United States Geological Survey
91136226,05krs5044,University of Sheffield
129801699,01nfmeh72,University of Tasmania
35440088,05a28rw58,ETH Zurich
84218800,05rrcem69,"University of California, Davis"
141103825,00avfj807,Nanchang Institute of Technology
12834331,01485tq96,University of Wyoming
298625061,02yy8x990,Swedish University of Agricultural Sciences
76903346,04z8k9a98,University of Coimbra
2800262456,04bs5yc70,"Swiss Federal Institute for Forest, Snow and Landscape Research"
4210117389,02cnnsp10,Forest Science and Research Institute
17974374,036rp1748,Universidade de São Paulo
192389796,02qt0xs84,Humboldt State University
164389053,03qnxaf80,Fordham University
4210089824,008rywf59,Centre dÉcologie Fonctionnelle et Évolutive
2801582665,01n6e6j62,United States Agency for International Development
4210129656,03abrgd14,Centre for Research on Ecology and Forestry Applications
4210161554,057xz1h85,CSIRO Land and Water
4210103887,01hq59z49,Estacion Experimental de Zonas Aridas
4210133677,03tmyej96,Patagonian Ecosystems Investigation Research Center
106969075,0162z8b04,Idaho State University
20272500,03tc05689,University of Basilicata
92446798,03k1gpj17,Colorado State University
6750721,0078xmk34,University of Montana
86501945,01sbq1a82,University of Delaware
170897317,00py81415,Duke University
36020712,01v10fv91,Sonora Institute of Technology
142606810,05h992307,Pacific Northwest National Laboratory
23946033,05vf56z40,University of Tehran
70931966,0161xgx34,Université de Montréal
2799614521,00ynnr806,"Royal Botanic Gardens, Kew"
21606457,04ygk5j35,Universidade Estadual de Feira de Santana
181391015,04wffgt70,Universidade Estadual de Campinas (UNICAMP)
869660684,00h2vm590,University of the Western Cape
177909021,00qdc6m37,Universidade Federal de São Carlos
126158947,03k3p7647,Universidade Federal da Bahia
16733864,05bqach95,National Taiwan University
1316675753,015n1m812,Universidade do Estado da Bahia
118347636,019wvm592,Australian National University
121748325,02p0gd045,Universidad Complutense de Madrid
98677209,01nrxwf90,University of Edinburgh
205783295,05bnh6r87,Cornell University
132053463,01r9htc13,Université Libre de Bruxelles
1341618623,00cz47042,National Museum of Natural History
103187081,01pp8nd67,Smithsonian Institution
4210128604,033xtdz52,Instituto de Pesquisas Jardim Botânico do Rio de Janeiro
879563668,00987cb86,Universidade Estadual Paulista (Unesp)
56165029,00r54sf44,Universidad de Morón
2802951768,03raeyn57,Universidade Federal do Oeste da Bahia
167261309,0349vqz63,Royal Botanic Garden Edinburgh
71052956,05v62cm79,University of Reading
2802068632,04w16j270,Brooklyn Botanic Garden
202697423,02crff812,University of Zurich
130442723,041yk2d64,Universidade Federal do Rio Grande do Sul
135598925,00p4k0j84,Kyushu University
165390105,048cwvf49,University of South Africa
1516879,03mwgfy56,Tarbiat Modares University
23732399,02w0trx84,Montana State University
4210087898,005r3tp02,South African National Biodiversity Institute
24027795,04z6c2n17,University of Johannesburg
2699952,01dg47b60,Pontifical Catholic University of Rio de Janeiro
2800285241,01s3fs709,Institut Agro Rennes-Angers
49451733,04yrqp957,Université dAngers
4210100051,00znqyv98,Museo Cantonale di Storia Naturale di Lugano
1311060795,021nxhr62,National Science Foundation
2802431724,04tzy5g14,Missouri Botanical Garden
4210130668,03nw3dq29,Royal Botanic Garden Sydney
